"SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivity","BudgetSubActivityTitle","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype","SpecialTotal","SpecialType","IncludeInTOA","AddOrNonAdd"
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","065","Retired Pay Accrual","U",2016,"Total",,,,4079866,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","080","Basic Allowance for Housing","U",2016,"Total",,,,5029307,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","085","Incentive Pays","U",2016,"Total",,,,94035,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","090","Special Pays","U",2016,"Total",,,,496415,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","095","Allowances","U",2016,"Total",,,,893776,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","100","Separation Pay","U",2016,"Total",,,,452815,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","02","Pay and Allowances of Enlisted","105","Social Security Tax","U",2016,"Total",,,,1004369,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","03","Pay And Allowances Of Cadets","110","Academy Cadets","U",2016,"Total",,,,80323,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","U",2016,"Total",,,,1391532,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","U",2016,"Total",,,,685852,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance","U",2016,"Total",,,,893,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","125","Accession Travel","U",2016,"Total",,,,167227,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","130","Training Travel","U",2016,"Total",,,,143955,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","135","Operational Travel","U",2016,"Total",,,,431902,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","140","Rotational Travel","U",2016,"Total",,,,732694,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","145","Separation Travel","U",2016,"Total",,,,304443,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","150","Travel of Organized Units","U",2016,"Total",,,,4234,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","155","Non-Temporary Storage","U",2016,"Total",,,,11333,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense","U",2016,"Total",,,,39186,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","U",2016,"Total",,,,717,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","U",2016,"Total",,,,3159,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","180","Death Gratuities","U",2016,"Total",,,,42800,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","185","Unemployment Benefits","U",2016,"Total",,,,293261,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","195","Education Benefits","U",2016,"Total",,,,4620,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","200","Adoption Expenses","U",2016,"Total",,,,589,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","210","Transportation Subsidy","U",2016,"Total",,,,4814,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","212","Reserve Income Replacement Program","U",2016,"Total",,,,0,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","U",2016,"Total",,,,105,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2016,"Total",,,,6223,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2016,"Total",,,,111929,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","218","Junior ROTC","U",2016,"Total",,,,28140,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","06","Other Military Personnel Costs","219","Traumatic Injury Protection Coverage (T-SGLI)","U",2016,"Total",,,,2803,,,,"Y","Add"
2016,"2010A","Military Personnel, Army","ARMY","","Less Reimbursables","","Less Reimbursables","U",2016,"Total",,,,-267242,,,,"N","Add"
2016,"1004A","MEDICARE - Retiree Health Care Contribution, A","ARMY","01","Health Care Contribution - Officers","300","Military Personnel, Army","U",2016,"Total",,,,350256,,,,"Y","Add"
2016,"1004A","MEDICARE - Retiree Health Care Contribution, A","ARMY","02","Health Care Contribution - Enlisted","300","Military Personnel, Army","U",2016,"Total",,,,1434951,,,,"Y","Add"
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","U",2016,"Total",,,,1556661,,,,"Y","Add"
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","U",2016,"Total",,,,44492,,,,"Y","Add"
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","U",2016,"Total",,,,234314,,,,"Y","Add"
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","U",2016,"Total",,,,13326,,,,"Y","Add"
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","060","Mobilization Training","U",2016,"Total",,,,320,,,,"Y","Add"
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","070","School Training","U",2016,"Total",,,,215951,,,,"Y","Add"
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","080","Special Training","U",2016,"Total",,,,305622,,,,"Y","Add"
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","090","Administration and Support","U",2016,"Total",,,,2066663,,,,"Y","Add"
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","100","Education Benefits","U",2016,"Total",,,,18380,,,,"Y","Add"
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","120","Health Profession Scholarship","U",2016,"Total",,,,59606,,,,"Y","Add"
2016,"2070A","Reserve Personnel, Army","ARMY","01","Reserve Component Training and Support","130","Other Programs (Admin & Support)","U",2016,"Total",,,,60101,,,,"Y","Add"
2016,"1005A","MEDICARE - Retiree Health Care Contribution, A RES","ARMY","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Army","U",2016,"Total",,,,333193,,,,"Y","Add"
2016,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","U",2016,"Total",,,,2640546,,,,"Y","Add"
2016,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","U",2016,"Total",,,,526051,,,,"Y","Add"
2016,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","040","Pay Group P Training  (Pipeline Recruits)","U",2016,"Total",,,,41411,,,,"Y","Add"
2016,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","070","School Training","U",2016,"Total",,,,474110,,,,"Y","Add"
2016,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","080","Special Training","U",2016,"Total",,,,690967,,,,"Y","Add"
2016,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","090","Administration and Support","U",2016,"Total",,,,3700196,,,,"Y","Add"
2016,"2060A","National Guard Personnel, Army","ARMY","01","Reserve Component Training and Support","100","Education Benefits","U",2016,"Total",,,,34866,,,,"Y","Add"
2016,"1006A","MEDICARE - Retiree Health Care Contribution, A GUARD","ARMY","01","Health Care Contribution - Reserve Component","300","National Guard Personnel, Army","U",2016,"Total",,,,587903,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","005","Basic Pay","U",2016,"Total",,,,4155448,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","010","Retired Pay Accrual","U",2016,"Total",,,,1299342,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","U",2016,"Total",,,,1536742,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","U",2016,"Total",,,,173538,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","035","Incentive Pays","U",2016,"Total",,,,133041,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","040","Special Pays","U",2016,"Total",,,,440129,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","045","Allowances","U",2016,"Total",,,,155538,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","050","Separation Pay","U",2016,"Total",,,,42355,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","01","Pay and Allowances of Officers","055","Social Security Tax","U",2016,"Total",,,,316658,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","060","Basic Pay","U",2016,"Total",,,,8872694,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","065","Retired Pay Accrual","U",2016,"Total",,,,2780716,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","080","Basic Allowance for Housing","U",2016,"Total",,,,4142316,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","085","Incentive Pays","U",2016,"Total",,,,105060,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","090","Special Pays","U",2016,"Total",,,,784177,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","095","Allowances","U",2016,"Total",,,,645017,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","100","Separation Pay","U",2016,"Total",,,,156500,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","02","Pay And Allowances Of Enlisted Personnel","105","Social Security Tax","U",2016,"Total",,,,678758,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","03","Pay And Allowances Of Cadets","110","Midshipmen","U",2016,"Total",,,,79242,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","U",2016,"Total",,,,796876,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","U",2016,"Total",,,,453299,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance","U",2016,"Total",,,,4,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","125","Accession Travel","U",2016,"Total",,,,97700,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","130","Training Travel","U",2016,"Total",,,,99893,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","135","Operational Travel","U",2016,"Total",,,,254445,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","140","Rotational Travel","U",2016,"Total",,,,285835,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","145","Separation Travel","U",2016,"Total",,,,129436,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","150","Travel of Organized Units","U",2016,"Total",,,,30968,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","155","Non-Temporary Storage","U",2016,"Total",,,,12159,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense","U",2016,"Total",,,,15800,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","05","Permanent Change of Station Travel","165","Other","U",2016,"Total",,,,11509,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","U",2016,"Total",,,,59,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","U",2016,"Total",,,,1370,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","180","Death Gratuities","U",2016,"Total",,,,18300,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits","U",2016,"Total",,,,107603,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","195","Education Benefits","U",2016,"Total",,,,19364,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses","U",2016,"Total",,,,265,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy","U",2016,"Total",,,,4993,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","212","Reserve Income Replacement Program","U",2016,"Total",,,,0,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","U",2016,"Total",,,,35,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2016,"Total",,,,6541,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","217","Reserve Officers Training Corps (ROTC)","U",2016,"Total",,,,21269,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","218","Junior ROTC","U",2016,"Total",,,,14733,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","221","Stop-Loss Retroactive Payments","U",2016,"Total",,,,0,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","06","Other Military Personnel Costs","240","Cancelled Account Payment","U",2016,"Total",,,,0,,,,"Y","Add"
2016,"1453N","Military Personnel, Navy","NAVY","","Less Reimbursables","","Less Reimbursables","U",2016,"Total",,,,-366320,,,,"N","Add"
2016,"1000N","MEDICARE - Retiree Health Care Contribution, N","NAVY","01","Health Care Contribution - Officers","300","Navy","U",2016,"Total",,,,204969,,,,"Y","Add"
2016,"1000N","MEDICARE - Retiree Health Care Contribution, N","NAVY","02","Health Care Contribution - Enlisted","300","Navy","U",2016,"Total",,,,1005473,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","005","Basic Pay","U",2016,"Total",,,,1559068,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","010","Retired Pay Accrual","U",2016,"Total",,,,486066,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","U",2016,"Total",,,,516710,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","U",2016,"Total",,,,66850,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","035","Incentive Pays","U",2016,"Total",,,,36341,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","040","Special Pays","U",2016,"Total",,,,8618,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","045","Allowances","U",2016,"Total",,,,53495,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","050","Separation Pay","U",2016,"Total",,,,15841,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","01","Pay and Allowances of Officers","055","Social Security Tax","U",2016,"Total",,,,118717,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","060","Basic Pay","U",2016,"Total",,,,4850355,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","065","Retired Pay Accrual","U",2016,"Total",,,,1518207,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","080","Basic Allowance for Housing","U",2016,"Total",,,,1625213,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","085","Incentive Pays","U",2016,"Total",,,,9520,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","090","Special Pays","U",2016,"Total",,,,129292,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","095","Allowances","U",2016,"Total",,,,351498,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","100","Separation Pay","U",2016,"Total",,,,138951,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","02","Pay And Allowances Of Enlisted Personnel","105","Social Security Tax","U",2016,"Total",,,,370489,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","115","Basic Allowance for Subsistence","U",2016,"Total",,,,462470,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","120","Subsistence-In-Kind","U",2016,"Total",,,,384036,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","04","Subsistence of Enlisted Personnel","121","Family Subsistence Supplemental Allowance","U",2016,"Total",,,,10,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","125","Accession Travel","U",2016,"Total",,,,62955,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","130","Training Travel","U",2016,"Total",,,,16913,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","135","Operational Travel","U",2016,"Total",,,,161285,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","140","Rotational Travel","U",2016,"Total",,,,118357,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","145","Separation Travel","U",2016,"Total",,,,120742,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","150","Travel of Organized Units","U",2016,"Total",,,,797,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","155","Non-Temporary Storage","U",2016,"Total",,,,5564,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","160","Temporary Lodging Expense","U",2016,"Total",,,,5734,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","05","Permanent Change of Station Travel","165","Other","U",2016,"Total",,,,3002,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","170","Apprehension of Military Deserters","U",2016,"Total",,,,505,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","175","Interest on Uniformed Services Savings","U",2016,"Total",,,,299,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","180","Death Gratuities","U",2016,"Total",,,,14000,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","185","Unemployment Benefits","U",2016,"Total",,,,95138,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","195","Education Benefits","U",2016,"Total",,,,9655,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","200","Adoption Expenses","U",2016,"Total",,,,84,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","210","Transportation Subsidy","U",2016,"Total",,,,1621,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","215","Partial Dislocation Allowance","U",2016,"Total",,,,67,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","216","SGLI Extra Hazard Payments","U",2016,"Total",,,,3167,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","218","Junior ROTC","U",2016,"Total",,,,3526,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","06","Other Military Personnel Costs","221","Stop-Loss Retroactive Payments","U",2016,"Total",,,,0,,,,"Y","Add"
2016,"1105N","Military Personnel, Marine Corps","NAVY","","Less Reimbursables","","Less Reimbursables","U",2016,"Total",,,,-28730,,,,"N","Add"
2016,"1001N","MEDICARE - Retiree Health Care Contribution, MC","NAVY","01","Health Care Contribution - Officers","300","Marine Corps","U",2016,"Total",,,,78312,,,,"Y","Add"
2016,"1001N","MEDICARE - Retiree Health Care Contribution, MC","NAVY","02","Health Care Contribution - Enlisted","300","Marine Corps","U",2016,"Total",,,,607662,,,,"Y","Add"
2016,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","U",2016,"Total",,,,603067,,,,"Y","Add"
2016,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","U",2016,"Total",,,,7141,,,,"Y","Add"
2016,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","U",2016,"Total",,,,62500,,,,"Y","Add"
2016,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","060","Mobilization Training","U",2016,"Total",,,,8816,,,,"Y","Add"
2016,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","070","School Training","U",2016,"Total",,,,45974,,,,"Y","Add"
2016,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","080","Special Training","U",2016,"Total",,,,124253,,,,"Y","Add"
2016,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","090","Administration and Support","U",2016,"Total",,,,992489,,,,"Y","Add"
2016,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","100","Education Benefits","U",2016,"Total",,,,107,,,,"Y","Add"
2016,"1405N","Reserve Personnel, Navy","NAVY","01","Reserve Component Training and Support","120","Health Profession Scholarship","U",2016,"Total",,,,53337,,,,"Y","Add"
2016,"1002N","MEDICARE - Retiree Health Care Contribution, N RES","NAVY","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Navy","U",2016,"Total",,,,107847,,,,"Y","Add"
2016,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","010","Pay Group A Training  (15 Days & Drills 24/48)","U",2016,"Total",,,,269298,,,,"Y","Add"
2016,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","020","Pay Group B Training  (Backfill For Active Duty)","U",2016,"Total",,,,36573,,,,"Y","Add"
2016,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","030","Pay Group F Training  (Recruits)","U",2016,"Total",,,,108034,,,,"Y","Add"
2016,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","060","Mobilization Training","U",2016,"Total",,,,2529,,,,"Y","Add"
2016,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","070","School Training","U",2016,"Total",,,,24160,,,,"Y","Add"
2016,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","080","Special Training","U",2016,"Total",,,,29622,,,,"Y","Add"
2016,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","090","Administration and Support","U",2016,"Total",,,,233431,,,,"Y","Add"
2016,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","095","Platoon Leader Class","U",2016,"Total",,,,5585,,,,"Y","Add"
2016,"1108N","Reserve Personnel, Marine Corps","NAVY","01","Reserve Component Training and Support","100","Education Benefits","U",2016,"Total",,,,642,,,,"Y","Add"
2016,"1003N","MEDICARE - Retiree Health Care Contribution, MC RES","NAVY","01","Health Care Contribution - Reserve Component","300","Reserve Personnel, Marine Corps","U",2016,"Total",,,,63054,,,,"Y","Add"
2016,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","005","Basic Pay","U",2016,"Total",,,,4871653,,,,"Y","Add"
2016,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","010","Retired Pay Accrual","U",2016,"Total",,,,1510391,,,,"Y","Add"
2016,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","025","Basic Allowance for Housing","U",2016,"Total",,,,1548858,,,,"Y","Add"
2016,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","030","Basic Allowance for Subsistence","U",2016,"Total",,,,202517,,,,"Y","Add"
2016,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","035","Incentive Pays","U",2016,"Total",,,,235054,,,,"Y","Add"
2016,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","040","Special Pays","U",2016,"Total",,,,359386,,,,"Y","Add"
2016,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","045","Allowances","U",2016,"Total",,,,144300,,,,"Y","Add"
2016,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","050","Separation Pay","U",2016,"Total",,,,57589,,,,"Y","Add"
2016,"3500F","Military Personnel, Air Force","AF","01","Pay and Allowances of Officers","055","Social Security Tax","U",2016,"Total",,,,371978,,,,"Y","Add"
