"","Fiscal.Year","SimpleArea","ProductOrServiceArea","Customer","ContractingSubCustomer","ContractingOfficeID","PlaceCountryText","CrisisFundingTheater","VendorPlaceType","Vendor.Size","UnmodifiedUltimateDurationCategory","OMBagencyName","OMBbureauName","treasuryagencycode","mainaccountcode","isUndefinitizedAction","OCOcrisisScore","CompetitionClassification","IsUrgency","ClassifyNumberOfOffers","IsOMBocoList","PSCOCOcrisisScore","OfficeOCOcrisisScore","MajorCommandID","IsMultipleYearProcRnD","isforeign","ContractCrisisFunding","nationalinterestactioncode","CrisisFunding","localareasetaside","ContingencyHumanitarianPeacekeepingOperation","ConHumIsOCOcrisisFunding","CCRexception","IsOCOcrisisFunding","IsARRAcrisisFunding","DecisionTree","DecisionTreeStep4","pscOCOcrisisPoint","FundingAccountOCOpoint","OfficeOCOcrisisPoint","PercentFundingAccountOCO","OfficeOCOcrisisPercentSqrt","pscOCOcrisisPercentSqrt","Action.Obligation.Then.Year","numberOfActions","CrisisFundingLegacy","Theater","International","contingencyhumanitarianpeacekeepingoperationText","CHPKisCrisisFunding","ProductServiceOrRnDarea.sum","Is.Defense","nationalinterestactioncodeText","IsHurricane","NIAcrisisFunding","SubCustomer","SAMexceptionText","SAMexception.sum","SAMcrisisFunding","SubCustomer.detail","No.Competition.Offer","Dur.Simple","Obligation.2017","NoCompOffr","dFYear","NIAlist","CrisisFunding1A","CrisisFunding1B","CrisisFunding1C","CrisisFunding2","CrisisFunding3","CrisisFunding4A","CrisisFunding4B","MultipleYearProcRnD"
"7693269",2004,"Services","PAMS","Defense","Army","W912C8","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-1,"Competition with single offer",NA,"One Offer",0,0,0,"ORG-2876",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.03,0.06,266737,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","1 Offer","Unlabeled",339464.135950081,"1 Offer",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7693342",2002,"Services","FRS&C","Defense","Army","CA45","UNITED STATES","Domestic","Domestic US","Large (Small Subsidiary)",NA,NA,NA,NA,NA,0,-2,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,-1,"ORG-2872",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.08,58691,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","No Comp. (Unlabeled)","Unlabeled",78277.9022616919,"Unlabeled",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7693490",2002,"Services","ERS","Defense","Navy","C7408","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-2,"Full Competition (Multiple Offers)",NA,"Two Offers",0,0,-1,"ORG-2940",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.05,5800,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","2-4 Offers","Unlabeled",7735.62953634821,"2-4 Offers",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7694260",2004,"Services","ICT","Defense","Army","W15P7T","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Unlabeled: No competition; multiple offers",NA,"Unlabeled: No competition; multiple offers",0,0,0,"ORG-2877",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.06,0.01,32986,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","Unlabeled","Unlabeled",41979.7927863378,"Unlabeled",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7696015",2004,"Services","ICT","Defense","Navy","BW17A","UNITED STATES","Domestic","Domestic US","Large (Small Subsidiary)",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,"ORG-2941",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.19,0.12,157748,4,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Unlabeled)","Unlabeled",200758.756819839,"Unlabeled",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7698415",2008,"Products","Launchers & Munitions","Other Agencies","Agriculture","84M8","UNITED STATES","Domestic","Domestic US","Medium <1B","<=2 Months",NA,NA,NA,NA,0,-1,"No Competition (Only One Source Exception)",0,"No competition",0,0,0,NA,0,0,"Unlabeled","W081","Disaster","N","",NA,"Unlabeled",NA,0,"Disaster","Disaster",0,0,0,NA,0,0.03,31151.7891,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","FALSE","California Wildfires 2008",0,"Disaster","Agriculture","Unlabeled","No Exception",NA,"Agriculture","No Comp. (Only 1 Source)","<~1 year",35600.4752540201,"Other No",2008-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7702022",2005,"Products","Electronics & Communications","Defense","Army","W25G1V","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Unlabeled: Competition; Zero Offers",NA,"Unlabeled: Competition; Zero Offers",0,0,0,"ORG-2877",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.04,0.07,2385,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","Unlabeled","Unlabeled",2940.64785749551,"Unlabeled",2005-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7708940",2002,"Services","PAMS","Defense","Air Force","GV03","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Limited Competition with multiple offers",NA,"3-4 Offers",0,0,0,"ORG-2825",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0,1e+05,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","2-4 Offers","Unlabeled",133372.923040486,"2-4 Offers",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7709925",2002,"Services","ERS","Defense","Air Force","QA12","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-1,"No Competition (Only One Source Exception)",0,"No competition",0,0,0,NA,0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.07,144948,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","No Comp. (Only 1 Source)","Unlabeled",193321.384488724,"Other No",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7713811",2002,"Products","Electronics & Communications","Defense","Army","DA10","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-2,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,-1,"ORG-2875",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.07,35604,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","No Comp. (Unlabeled)","Unlabeled",47486.0955193348,"Unlabeled",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7714869",2004,"Services","ERS","Defense","Navy","WA30C","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Unlabeled: No competition; multiple offers",NA,"Unlabeled: No competition; multiple offers",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.07,5836,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","Unlabeled","Unlabeled",7427.21368765741,"Unlabeled",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7715535",2004,"Products","Other","Defense","Air Force","CA12","UNITED STATES","Domestic","Domestic US","Large",NA,NA,NA,NA,NA,0,-2,"Unlabeled: Competition; Zero Offers",NA,"Unlabeled: Competition; Zero Offers",0,0,-1,"ORG-2834",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.11,198000,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","Unlabeled","Unlabeled",251985.659725183,"Unlabeled",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7717058",2003,"Services","ICT","Defense","Navy","F7399","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,"ORG-2943",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.03,52508,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Unlabeled)","Unlabeled",68662.0724302299,"Unlabeled",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7718802",2004,"R&D","R&D","Defense","Air Force","GS03","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-2,"Limited Competition with multiple offers",NA,"10-24 Offers",0,0,-1,"ORG-2825",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.07,374952,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"R&D","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","5+ Offers","Unlabeled",477184.480228671,"5+ Offers",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7724439",2004,"Services","FRS&C","Defense","Army","W912PP","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,"ORG-2872",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.12,0,84326,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","No Comp. (Unlabeled)","Unlabeled",107317.892636292,"Unlabeled",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7725779",2004,"Services","ERS","Defense","Other DoD","H92241","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Limited Competition with multiple offers",NA,"3-4 Offers",0,0,0,NA,0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.02,0.08,181051,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Other DoD","Unlabeled","No Exception",NA,"Other DoD","2-4 Offers","Unlabeled",230415.432721738,"2-4 Offers",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7729301",2003,"Services","ERS","Defense","Navy","BW27A","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,"ORG-2941",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.06,57000,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Unlabeled)","Unlabeled",74536.0350522417,"Unlabeled",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7729343",2002,"Products","Aircraft","Defense","Navy","JA113","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.04,30540,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Unlabeled)","Unlabeled",40732.0906965645,"Unlabeled",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7730853",2006,"Services","ICT","Defense","DLA","SA7057","UNITED STATES","Domestic","Domestic US","Large",">7-12 Months",NA,NA,NA,NA,0,-1,"Competition with single offer",0,"One Offer",0,0,0,"ORG-2773",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.03,2153789.3293,107,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","DLA","Unlabeled","No Exception",NA,"DLA","1 Offer","<~1 year",2576419.42971086,"1 Offer",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7735180",2006,"Services","PAMS","Defense","Army","W91238","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"Two Offers",0,0,0,"ORG-2872",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.03,0.08,-195,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","2-4 Offers","Unlabeled",-233.264127535121,"2-4 Offers",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7737206",2002,"Services","ERS","Defense","Army","CW62","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,NA,0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.05,23364,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","No Comp. (Unlabeled)","Unlabeled",31161.2497391792,"Unlabeled",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7737964",2006,"Services","FRS&C","Defense","Navy","N62473","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,0,"No Competition (Unlabeled Exception)",NA,"No competition",0,1,0,"ORG-2940",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,1,0,0,NA,0.11,0.29,9200,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Unlabeled)","Unlabeled",11005.2819144775,"Unlabeled",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7738862",2003,"Products","Aircraft","Defense","Air Force","GJ70","UNITED STATES","Domestic","Domestic US","Large",NA,NA,NA,NA,NA,NA,-1,"No Competition (Only One Source Exception)",0,"No competition",0,0,0,"ORG-2825",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.04,68640,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","No Comp. (Only 1 Source)","Unlabeled",89757.0779997521,"Other No",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7739255",2006,"Services","PAMS","Defense","Army","W911QX","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,0,"Limited Competition with multiple offers",NA,"100+ Offers",0,0,1,"ORG-2877",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,1,NA,0.42,0.01,1616538,7,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","5+ Offers","Unlabeled",1933745.26255061,"5+ Offers",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7744247",2004,"Services","ERS","Defense","Navy","A8050","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-2,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,-1,"ORG-2936",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.03,3110,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","No Comp. (Unlabeled)","Unlabeled",3957.95657447131,"Unlabeled",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7744735",2008,"Services","PAMS","Other Agencies","Transportation","00070","UNITED STATES","Domestic","Domestic US","Small",">7-12 Months",NA,NA,NA,NA,0,-1,"Unlabeled: Blank Fair Opportunity",NA,"Unlabeled: Blank Fair Opportunity",0,0,0,NA,0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Disaster","Disaster",0,0,0,NA,0.01,0.1,-6.96,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","FALSE","California Wildfires 2008",0,"Disaster","Transportation","Unlabeled","No Exception",NA,"Transportation","Unlabeled","<~1 year",-7.95393506846705,"Unlabeled",2008-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7745141",2006,"Services","ERS","Defense","Air Force","FA4427","UNITED STATES","Domestic","Domestic US","Medium <1B",NA,NA,NA,NA,NA,0,-1,"No Competition (Only One Source Exception)",0,"No competition",0,0,0,"ORG-2844",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.02,0.07,144948,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","No Comp. (Only 1 Source)","Unlabeled",173390.609015183,"Other No",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7746646",2004,"Services","ERS","Defense","Army","W912GY","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"Two Offers",0,0,0,"ORG-2877",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.14,50461,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","2-4 Offers","Unlabeled",64219.4362393558,"2-4 Offers",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7747210",2006,"Services","ERS","Defense","Air Force","FA8108","UNITED STATES","Domestic","Domestic US","Large",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"3-4 Offers",0,0,0,"ORG-2825",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.07,0.08,-425895,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","2-4 Offers","Unlabeled",-509466.79793113,"2-4 Offers",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7747420",2006,"Services","ERS","Defense","Air Force","FA8509","UNITED STATES","Domestic","Domestic US","Large (Small Subsidiary)",NA,NA,NA,NA,NA,0,-1,"No Competition (Unlabeled Exception)",NA,"No competition",0,0,0,"ORG-2825",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,1,NA,0.27,0.08,14200,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","No Comp. (Unlabeled)","Unlabeled",16986.413389737,"Unlabeled",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7747767",2004,"Products","Electronics & Communications","Defense","Navy","JA112","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Competition with single offer",NA,"One Offer",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.07,59900,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","1 Offer","Unlabeled",76232.0253411033,"1 Offer",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7747869",2004,"Products","Electronics & Communications","Defense","Navy","WA30B","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"Two Offers",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.01,0.07,18750,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","2-4 Offers","Unlabeled",23862.2783830666,"2-4 Offers",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7748337",2010,"Services","FRS&C","Defense","Army","W91238","UNITED STATES","Domestic","Domestic US","Small",">2-7 Months",NA,NA,21,2022,0,-1,"No Competition (Other Exception)",0,"No competition",0,0,0,"ORG-2872",0,0,"ARRA","W081","ARRA","N","",NA,"Unlabeled",NA,1,"ARRA","ARRA",0,0,0,NA,0.03,0.15,0,2,"ARRA","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","No Comp. (Other)","<~1 year",0,"Other No",2010-01-01,"California Wildfires 2008","ARRA","ARRA",NA,NA,NA,NA,NA,"Remainder"
"7748804",2003,"Services","ICT","Defense","Army","BJ01","UNITED STATES","Domestic","Domestic US","Large",NA,NA,NA,NA,NA,0,-2,"Competition with single offer",NA,"One Offer",0,0,-1,"ORG-2876",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.03,4850,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Army","Unlabeled","No Exception",NA,"Army","1 Offer","Unlabeled",6342.10122812933,"1 Offer",2003-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7758133",2002,"Services","ERS","Defense","Air Force","GW02","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Full Competition (Multiple Offers)",NA,"3-4 Offers",0,0,0,"ORG-2825",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0,0.06,55000,2,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Air Force","Unlabeled","No Exception",NA,"Air Force","2-4 Offers","Unlabeled",73355.1076722675,"2-4 Offers",2002-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7759513",2004,"Products","Ground Vehicles","Defense","DLA","0700","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-2,"Full Competition (Multiple Offers)",NA,"10-24 Offers",0,0,-1,NA,0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,"Excluded","Excluded",0,0,0,NA,0,0.06,27469,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Products (All)","TRUE","California Wildfires 2008",0,"Disaster","DLA","Unlabeled","No Exception",NA,"DLA","5+ Offers","Unlabeled",34958.5559949043,"5+ Offers",2004-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
"7766031",2006,"Services","ICT","Defense","Navy","N00406","UNITED STATES","Domestic","Domestic US","Small",NA,NA,NA,NA,NA,0,-1,"Competition with single offer (Overrode blank Fair Opportunity)",NA,"One Offer",0,0,0,"ORG-2937",0,0,"Unlabeled","W081","Disaster","","",NA,"Unlabeled",NA,0,NA,NA,0,0,0,NA,0.01,0.03,50618,1,"Disaster","Domestic","Domestic","Unlabeled",NA,"Services (Non-R&D)","TRUE","California Wildfires 2008",0,"Disaster","Navy","Unlabeled","No Exception",NA,"Navy","1 Offer","Unlabeled",60550.5826029372,"1 Offer",2006-01-01,"California Wildfires 2008","Unlabeled","Unlabeled",NA,NA,NA,NA,NA,"Remainder"
